id,uniprot,gene,chrom,start,end
NP_054477.1,,800514,,,
NP_054478.1,,800495,,,
NP_054481.2,,800492,,,
NP_054482.2,,800473,,,
NP_054491.1,,800525,,,
NP_054492.2,,800516,,,
NP_054496.1,,800418,,,
NP_054500.1,,800429,,,
NP_054503.2,,800442,,,
NP_054505.1,,800472,,,
NP_054506.2,,800515,,,
NP_054507.1,,800513,,,
NP_054512.1,,800461,,,
NP_054516.1,,800446,,,
NP_054517.1,,800531,,,
NP_054521.1,,800526,,,
NP_054522.1,,800444,,,
NP_054525.1,,800474,,,
NP_054526.1,,800527,,,
NP_054528.1,,800457,,,
NP_054530.1,,800462,,,
NP_054531.1,,800494,,,
NP_054533.1,,800448,,,
NP_054555.1,,800466,,,
NP_054557.2,,800483,,,
NP_054561.1,,800458,,,
NP_054562.1,,800512,,,
NP_054563.1,,800441,,,
XP_016432275.1,,107758943,,,
XP_016432287.1,,107758952,,,
XP_016432296.1,,107758963,,,
XP_016432301.1,,107758966,,,
XP_016432316.1,,107758981,,,
XP_016432336.1,,107758994,,,
XP_016432380.1,,107759031,,,
XP_016432394.1,,107759041,,,
XP_016432410.1,,107759056,,,
XP_016432414.1,,107759058,,,
XP_016432438.1,,107759080,,,
XP_016432443.1,,107759087,,,
XP_016432444.1,,107759088,,,
XP_016432445.1,,107759085,,,
XP_016432454.1,,107759096,,,
XP_016432462.1,,107759102,,,
XP_016432468.1,,107759107,,,
XP_016432477.1,,107759116,,,
XP_016432483.1,,107759124,,,
XP_016432485.1,,107759125,,,
XP_016432499.1,,107759140,,,
XP_016432517.1,,107759160,,,
XP_016432593.1,,107759222,,,
XP_016432605.1,,107759235,,,
XP_016432622.1,,107759249,,,
XP_016432631.1,,107759231,,,
XP_016432653.1,,107759280,,,
XP_016432662.1,,107759291,,,
XP_016432669.1,,107759297,,,
XP_016432687.1,,107759316,,,
XP_016432688.1,,107759317,,,
XP_016432694.1,,107759321,,,
XP_016432750.1,,107759348,,,
XP_016432761.1,,107759354,,,
XP_016432785.1,,107759370,,,
XP_016432790.1,,107759374,,,
XP_016432795.1,,107759378,,,
XP_016432806.1,,107759385,,,
XP_016432834.1,,107759406,,,
XP_016432877.1,,107759448,,,
XP_016432912.1,,107759472,,,
XP_016432923.1,,107759478,,,
XP_016432938.1,,107759493,,,
XP_016432952.1,,107759507,,,
XP_016432966.1,,107759516,,,
XP_016432969.1,,107759519,,,
XP_016432982.1,,107759530,,,
XP_016432983.1,,107759531,,,
XP_016432999.1,,107759548,,,
XP_016433004.1,,107759554,,,
XP_016433019.1,,107759566,,,
XP_016433029.1,,107759570,,,
XP_016433036.1,,107759576,,,
XP_016433074.1,,107759613,,,
XP_016433079.1,,107759616,,,
XP_016433080.1,,107759617,,,
XP_016433085.1,,107759623,,,
XP_016433096.1,,107759631,,,
XP_016433112.1,,107759642,,,
XP_016433139.1,,107759663,,,
XP_016433142.1,,107759666,,,
XP_016433154.1,,107759676,,,
XP_016433162.1,,107759684,,,
XP_016433173.1,,107759696,,,
XP_016433186.1,,107759700,,,
XP_016433209.1,,107759725,,,
XP_016433212.1,,107759727,,,
XP_016433215.1,,107759729,,,
XP_016433223.1,,107759735,,,
XP_016433224.1,,107759736,,,
XP_016433231.1,,107759747,,,
XP_016433234.1,,107759749,,,
XP_016433249.1,,107759758,,,
XP_016433254.1,,107759759,,,
XP_016433261.1,,107759763,,,
XP_016433264.1,,107759767,,,
XP_016433265.1,,107759768,,,
XP_016433296.1,,107759800,,,
XP_016433300.1,,107759802,,,
XP_016433317.1,,107759817,,,
XP_016433353.1,,107759854,,,
XP_016433366.1,,107759872,,,
XP_016433367.1,,107759873,,,
XP_016433394.1,,107759904,,,
XP_016433400.1,,107759911,,,
XP_016433420.1,,107759927,,,
XP_016433425.1,,107759931,,,
XP_016433468.1,,107759966,,,
XP_016433511.1,,107760005,,,
XP_016433521.1,,107760012,,,
XP_016433522.1,,107760016,,,
XP_016433523.1,,107760017,,,
XP_016433530.1,,107760026,,,
XP_016433553.1,,107760041,,,
XP_016433559.1,,107760055,,,
XP_016433562.1,,107760060,,,
XP_016433577.1,,107760069,,,
XP_016433582.1,,107760078,,,
XP_016433588.1,,107760083,,,
XP_016433591.1,,107760085,,,
XP_016433595.1,,107760089,,,
XP_016433606.1,,107760102,,,
XP_016433607.1,,107760103,,,
XP_016433611.1,,107760106,,,
XP_016433615.1,,107760110,,,
XP_016433650.1,,107760150,,,
XP_016433651.1,,107760151,,,
XP_016433680.1,,107760178,,,
XP_016433682.1,,107760182,,,
XP_016433712.1,,107760212,,,
XP_016433713.1,,107760213,,,
XP_016433716.1,,107760211,,,
XP_016433733.1,,107760226,,,
XP_016433738.1,,107760231,,,
XP_016433743.1,,107760236,,,
XP_016433766.1,,107760257,,,
XP_016433780.1,,107760267,,,
XP_016433783.1,,107760270,,,
XP_016433785.1,,107760272,,,
XP_016433787.1,,107760273,,,
XP_016433806.1,,107760293,,,
XP_016433826.1,,107760306,,,
XP_016433830.1,,107760311,,,
XP_016433835.1,,107760313,,,
XP_016433868.1,,107760346,,,
XP_016433871.1,,107760348,,,
XP_016433881.1,,107760360,,,
XP_016433912.1,,107760383,,,
XP_016433919.1,,107760389,,,
XP_016433924.1,,107760390,,,
XP_016433929.1,,107760396,,,
XP_016433966.1,,107760435,,,
XP_016433971.1,,107760440,,,
XP_016433986.1,,107760451,,,
XP_016433990.1,,107760458,,,
XP_016433991.1,,107760455,,,
XP_016434013.1,,107760475,,,
XP_016434078.1,,107760529,,,
XP_016434130.1,,107760573,,,
XP_016434133.1,,107760578,,,
XP_016434140.1,,107760583,,,
XP_016434148.1,,107760590,,,
XP_016434163.1,,107760601,,,
XP_016434165.1,,107760603,,,
XP_016434204.1,,107760634,,,
XP_016434205.1,,107760637,,,
XP_016434207.1,,107760638,,,
XP_016434218.1,,107760646,,,
XP_016434219.1,,107760644,,,
XP_016434220.1,,107760647,,,
XP_016434230.1,,107760660,,,
XP_016434266.1,,107760689,,,
XP_016434273.1,,107760692,,,
XP_016434275.1,,107760698,,,
XP_016434288.1,,107760707,,,
XP_016434310.1,,107760727,,,
XP_016434312.1,,107760730,,,
